name,platform,year,genre,publisher,na,eu,jp,other,global_sales,label
Spy Hunter,17,2001,7,330,1.13,0.32,0,0.22,1.67,1
NCAA Football 2004,17,2003,11,139,1.35,0.09,0,0.23,1.67,1
SpongeBob SquarePants: Battle for Bikini Bottom,17,2003,5,514,1.08,0.45,0,0.14,1.67,1
Dying Light,19,2015,1,558,0.63,0.66,0.11,0.26,1.66,1
Heavenly Sword,18,2007,1,464,0.57,0.73,0.06,0.3,1.66,1
Street Fighter II': Special Champion Edition,9,1992,3,452,1,0.3,0.31,0.04,1.66,1
SSX,17,2000,11,139,0.78,0.61,0.06,0.2,1.66,1
Max Payne 3,29,2012,9,498,0.86,0.64,0.01,0.14,1.66,1
NBA Ballers,17,2004,11,330,0.81,0.63,0,0.21,1.66,1
Need for Speed Carbon,29,2006,7,139,0.76,0.7,0.02,0.18,1.66,1
NBA Live 2003,17,2002,11,139,1.25,0.15,0.03,0.22,1.66,1
Dragon Ball Z: Budokai Tenkaichi,17,2005,3,54,0.96,0.12,0.54,0.04,1.66,1
Ms. Pac-Man,1,1981,6,54,1.54,0.1,0,0.02,1.65,1
Mario Party 6,8,2004,4,368,0.9,0.11,0.6,0.05,1.65,1
Super Scope 6,24,1991,9,368,1.06,0.38,0.15,0.05,1.65,1
Go Vacation,26,2011,4,351,0.48,0.68,0.33,0.16,1.65,1
Dragon Quest V: Tenkuu no Hanayome,17,2004,8,145,0,0,1.65,0,1.65,1
Army of Two,29,2008,9,139,1.09,0.38,0.02,0.16,1.65,1
Dragon Quest IV: Chapters of the Chosen,5,2007,8,474,0.32,0.02,1.27,0.03,1.64,1
Kirby & the Amazing Mirror,7,2004,5,368,0.8,0.05,0.76,0.03,1.64,1
LEGO Pirates of the Caribbean: The Video Game,26,2011,1,126,0.76,0.72,0,0.16,1.64,1
Dig Dug,1,1982,6,54,1.52,0.1,0,0.02,1.64,1
Tom Clancy's Rainbow Six,16,1999,9,433,0.93,0.63,0,0.08,1.64,1
Ghosts 'n Goblins,12,1986,1,82,0.74,0.26,0.61,0.03,1.64,1
Tiger Woods PGA Tour 2003,17,2002,11,139,0.8,0.63,0,0.21,1.64,1
NBA Live 06 (All region sales),17,2005,11,139,1.44,0.15,0,0.05,1.64,1
Prince of Persia: Warrior Within,17,2004,1,532,0.54,0.88,0,0.22,1.64,1
Kinectimals,29,2010,10,328,1.02,0.48,0,0.14,1.64,1
Until Dawn,19,2015,2,466,0.44,0.89,0.05,0.25,1.64,1
ESPN NFL 2K5,30,2004,11,452,1.54,0.02,0,0.07,1.63,1
Viva Pinata,29,2006,10,328,0.45,0.96,0.02,0.2,1.63,1
Pikmin,8,2001,12,368,0.78,0.25,0.56,0.04,1.63,1
Call of Duty: Black Ops,14,2009,9,17,0.58,0.81,0,0.24,1.63,1
Sonic Generations,18,2011,5,452,0.6,0.73,0.02,0.28,1.63,1
Tiger Woods PGA Tour 2004,17,2003,11,139,1.18,0.34,0,0.1,1.63,1
Ape Escape,16,1999,5,464,0.71,0.48,0.32,0.11,1.63,1
NBA 2K15,29,2014,11,498,1.33,0.14,0,0.15,1.63,1
NCAA Football 2005,17,2004,11,139,1.32,0.09,0,0.22,1.62,1
Just Cause 2,29,2010,1,474,0.59,0.85,0.02,0.17,1.62,1
Rock Band,18,2011,4,139,0.99,0.41,0,0.22,1.62,1
Tony Hawk's American Wasteland (Old all region sales),17,2005,11,17,0.8,0.63,0.01,0.19,1.62,1
Rage,29,2011,9,65,0.82,0.61,0.03,0.15,1.62,1
Mario Hoops 3 on 3,5,2006,11,368,0.99,0.04,0.49,0.1,1.62,1
Kirby Air Ride,8,2003,7,368,1.01,0.11,0.45,0.04,1.62,1
Sled Storm,16,1998,7,139,0.9,0.61,0,0.11,1.62,1
Pokemon Battle Revolution,26,2006,8,368,0.8,0.38,0.3,0.13,1.61,1
NFL Street 2,17,2004,11,139,0.79,0.62,0,0.21,1.61,1
Gears of War: Judgment,29,2013,9,328,0.92,0.53,0.03,0.13,1.61,1
Baseball,6,1989,11,368,0.66,0.27,0.65,0.03,1.61,1
Yu-Gi-Oh! Duel Monsters,6,1998,12,282,0,0,1.61,0.01,1.61,1
Super Mario Strikers,8,2005,11,368,0.98,0.38,0.2,0.04,1.61,1
Buzz! The Music Quiz,17,2005,4,464,0,1.18,0,0.43,1.61,1
SpongeBob's Atlantis SquarePantis,5,2007,1,514,1.5,0,0,0.11,1.61,1
Far Cry 4,31,2014,9,532,0.79,0.68,0.01,0.13,1.61,1
Dance Dance Revolution: Hottest Party 2,26,2008,10,282,0.95,0.48,0.01,0.15,1.6,1
Moshi Monsters: Moshling Zoo,5,2011,4,17,0.4,0.99,0,0.22,1.6,1
Dollar Dash,17,2005,1,498,1.3,0.23,0,0.07,1.6,1
Far Cry 2,29,2008,1,532,0.71,0.69,0.02,0.18,1.6,1
F-1 World Grand Prix,11,1998,7,548,0.46,0.96,0.09,0.08,1.6,1
River Raid,1,1981,9,17,1.49,0.09,0,0.02,1.6,1
Silent Hill,16,1999,1,282,0.71,0.48,0.3,0.1,1.6,1
Dragon Quest V: Hand of the Heavenly Bride,5,2008,8,474,0.19,0.02,1.36,0.02,1.6,1
No Man's Sky,19,2016,1,222,0.58,0.74,0.02,0.26,1.6,1
Sonic Heroes,8,2003,5,452,1.05,0.44,0.06,0.04,1.6,1
ESPN NBA 2K5,17,2004,11,198,1.26,0.12,0,0.21,1.59,1
Diablo,14,1996,8,17,0.01,1.58,0,0,1.59,1
The Legend of Zelda: Twilight Princess,8,2006,1,368,1.15,0.36,0.04,0.04,1.59,1
Soul Edge,16,1996,3,464,0.61,0.41,0.46,0.1,1.59,1
Devil May Cry 4,18,2008,1,82,0.58,0.46,0.34,0.21,1.59,1
Mario Bros.,1,1982,5,54,1.48,0.09,0,0.02,1.59,1
Pro Evolution Soccer 2008,18,2007,11,282,0.04,1.1,0.32,0.13,1.59,1
SoulCalibur IV,29,2008,3,532,0.92,0.44,0.07,0.15,1.59,1
LEGO Harry Potter: Years 1-4,29,2010,1,558,0.95,0.5,0,0.14,1.59,1
NASCAR 2000,16,1999,7,139,0.88,0.6,0,0.1,1.59,1
Wolfenstein: The New Order,19,2014,9,65,0.47,0.8,0.03,0.29,1.58,1
Carnival Games: Mini Golf,26,2008,11,498,0.87,0.56,0,0.15,1.58,1
Guitar Hero: On Tour Decades,5,2008,4,17,0.85,0.58,0,0.16,1.58,1
MySims Kingdom,5,2008,10,139,0.81,0.6,0.01,0.17,1.58,1
Jampack Summer 2K,16,2000,4,464,0.88,0.6,0,0.1,1.58,1
Need for Speed: Most Wanted,29,2012,7,139,0.62,0.8,0.01,0.15,1.58,1
Guitar Hero 5,26,2009,4,17,0.94,0.49,0,0.15,1.58,1
High School Musical 3: Senior Year,5,2008,4,126,0.64,0.76,0,0.17,1.58,1
Kingdom Hearts 3D: Dream Drop Distance,3,2012,1,474,0.88,0.26,0.34,0.09,1.58,1
Hannah Montana: Music Jam,5,2007,1,126,1.06,0.37,0,0.15,1.58,1
Pokemon Mystery Dungeon: Explorers of Sky,5,2009,8,368,0.58,0.44,0.44,0.12,1.58,1
Spyro 2: Season of Flame,7,2002,5,554,0.85,0.65,0,0.08,1.58,1
Pro Evolution Soccer 2010,17,2009,11,282,0.1,0.18,0.12,1.16,1.57,1
NCAA Football 2002,17,2001,11,139,0.77,0.6,0,0.2,1.57,1
Conflict: Desert Storm,17,2002,9,201,0.98,0.53,0,0.06,1.57,1
Mario Party 7,8,2005,4,368,0.95,0.11,0.46,0.04,1.57,1
Pro Evolution Soccer 2013,18,2012,11,282,0.18,0.64,0.49,0.25,1.56,1
Smuggler's Run,17,2000,7,498,0.77,0.6,0,0.2,1.56,1
Fight Night Round 3,17,2006,3,139,1.07,0.4,0,0.1,1.56,1
Donkey Kong Classics,12,1988,5,368,0.59,0.14,0.81,0.02,1.56,1
Twisted Metal,16,1995,1,464,1.32,0.19,0,0.05,1.56,1
Dark Souls III,19,2016,8,351,0.58,0.44,0.33,0.21,1.56,1
Final Fight,24,1990,1,82,0.67,0.17,0.69,0.03,1.56,1
Dragon Quest Monsters 2,6,2001,8,145,0,0,1.56,0,1.56,1
Pokemon Pinball: Ruby & Sapphire,7,2003,4,368,0.68,0.38,0.44,0.05,1.56,1
LEGO Marvel Super Heroes,19,2013,1,558,0.59,0.75,0.01,0.21,1.56,1
Mafia II,29,2010,1,498,0.84,0.56,0,0.15,1.55,1
Dishonored,18,2012,1,65,0.72,0.54,0.04,0.25,1.55,1
Stuntman,17,2002,7,54,0.76,0.59,0,0.2,1.55,1
Tom Clancy's Rainbow Six 3,30,2003,9,532,0.91,0.57,0,0.07,1.55,1
Active Life: Outdoor Challenge,26,2008,11,54,0.79,0.44,0.19,0.14,1.55,1
BioShock 2,18,2010,9,498,0.85,0.47,0.02,0.22,1.55,1
007: The World is not Enough,11,2000,1,139,1.13,0.38,0.02,0.03,1.55,1
Spider-Man 2: Enter: Electro,16,2001,1,17,0.57,0.87,0.02,0.09,1.55,1
Watch Dogs,31,2014,1,532,0.9,0.53,0,0.13,1.55,1
Star Wars: The Force Unleashed II,18,2010,1,296,0.8,0.53,0,0.22,1.55,1
Ni no Kuni: Wrath of the White Witch,18,2011,8,351,0.6,0.51,0.21,0.23,1.55,1
Command & Conquer: Tiberian Sun,14,1999,12,561,1.55,0,0,0,1.55,1
LEGO Battles: Ninjago,5,2011,12,558,1.07,0.36,0,0.12,1.55,1
Mario Party 10,27,2015,4,368,0.69,0.5,0.24,0.11,1.55,1
Dead Rising 3,31,2013,1,328,1.06,0.35,0.01,0.12,1.54,1
Resident Evil: The Umbrella Chronicles,26,2007,1,82,0.68,0.43,0.29,0.14,1.54,1
Fire Emblem Fates,3,2015,8,368,0.71,0.22,0.52,0.1,1.54,1
Dark Cloud,17,2000,8,464,0.83,0.44,0.08,0.19,1.54,1
Warcraft III: The Frozen Throne,14,2003,12,17,0.58,0.87,0,0.09,1.54,1
Tom Clancy's Ghost Recon Advanced Warfighter,29,2006,9,532,1.4,0.02,0.02,0.1,1.54,1
Disney Fairies: Tinker Bell,5,2008,2,126,0.86,0.52,0.01,0.15,1.54,1
MVP Baseball 2005,17,2005,11,139,1.26,0.07,0,0.21,1.54,1
Die Hard Trilogy,16,1996,9,168,0.85,0.58,0,0.1,1.54,1
Call of Duty: Black Ops II,14,2012,9,17,0.63,0.69,0,0.21,1.53,1
Fight Night Round 4,18,2009,3,139,0.92,0.41,0,0.21,1.53,1
MySims Kingdom,26,2008,10,139,0.71,0.65,0.01,0.17,1.53,1
The Simpsons Game,5,2007,1,139,0.57,0.79,0,0.17,1.53,1
Mortal Kombat 3,24,1994,3,13,1.19,0.29,0,0.05,1.53,1
NFL GameDay 99,16,1998,11,11,1.44,0.05,0,0.04,1.53,1
Call of Duty: Modern Warfare: Reflex Edition,26,2009,9,17,0.95,0.43,0,0.14,1.53,1
FIFA 17,31,2016,11,139,0.17,1.26,0,0.1,1.53,1
Mario Golf: Toadstool Tour,8,2003,11,368,1.09,0.15,0.25,0.04,1.53,1
Tiger Woods 99 PGA Tour Golf,16,1997,11,139,0.85,0.58,0,0.1,1.53,1
Donkey Kong Country: Tropical Freeze,27,2014,5,368,0.73,0.52,0.15,0.12,1.52,1
Dead Space 2,29,2011,9,139,0.94,0.45,0,0.13,1.52,1
Sonic Rivals 2,20,2007,7,452,0.44,0.69,0,0.39,1.52,1
Knockout Kings,16,1997,3,139,1.07,0.39,0,0.06,1.52,1
The Simpsons Skateboarding,17,2002,11,139,0.36,0.9,0,0.27,1.52,1
NASCAR 98,16,1996,7,139,1.43,0.05,0,0.04,1.52,1
F1 Race,12,1984,7,368,0,0,1.52,0,1.52,1
Xevious,12,1984,9,351,0.18,0.06,1.27,0.01,1.52,1
NASCAR 99,16,1998,7,139,1.45,0.04,0,0.04,1.52,1
NBA Live 2000,16,1998,11,139,1.43,0.05,0,0.03,1.52,1
Mafia II,18,2010,1,498,0.5,0.72,0.04,0.26,1.52,1
Call of Duty 3,18,2006,9,17,0.6,0.63,0.03,0.26,1.52,1
Super Monkey Ball 2,8,2002,6,54,1.11,0.31,0.06,0.04,1.52,1
Pac-Man World 2,17,2002,1,351,1.26,0.05,0,0.21,1.51,1
Madden NFL 15,31,2014,11,139,1.3,0.09,0,0.12,1.51,1
Sonic & Sega All-Stars Racing,26,2010,7,452,0.65,0.71,0,0.15,1.51,1
LEGO Star Wars III: The Clone Wars,29,2011,1,296,0.84,0.54,0,0.13,1.51,1
Football Manager 2012,14,2011,11,452,0.02,1.16,0,0.34,1.51,1
Puzzle & Dragons,3,2013,8,210,0,0,1.51,0,1.51,1
Mega Man 2,12,1988,1,82,0.93,0.15,0.42,0.01,1.51,1
Simpsons Wrestling,16,2001,3,139,0.23,1.16,0,0.11,1.51,1
NBA Live 98,16,1997,11,139,1.41,0.06,0,0.04,1.51,1
The Simpsons Game,17,2007,1,139,0.35,0.03,0,1.13,1.51,1
Monopoly,16,1997,4,217,1.18,0.27,0,0.05,1.51,1
SoulCalibur II,8,2003,3,351,0.99,0.32,0.11,0.08,1.5,1
Resistance 3,18,2011,9,464,0.64,0.58,0.05,0.23,1.5,1
Tokyo Xtreme Racer Zero,17,2000,7,102,0.66,0.52,0.15,0.17,1.5,1
Final Fantasy XIV: A Realm Reborn,14,2010,8,474,0.86,0.48,0,0.17,1.5,1
NFL Blitz,16,1998,11,330,1.41,0.05,0,0.04,1.5,1
Red Faction II,17,2002,9,514,0.49,0.78,0,0.23,1.5,1
Super Scribblenauts,5,2010,6,558,1.08,0.31,0,0.11,1.5,1
Madden NFL 2001,17,2000,11,139,1.19,0.07,0.05,0.2,1.5,1
WWF No Mercy,11,2000,3,514,1.2,0.27,0.02,0.02,1.5,1
Ice Climber,12,1985,5,368,0.46,0.1,0.92,0.02,1.5,1
Sonic CD,23,1993,5,452,1,0.36,0.09,0.05,1.5,1
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,12,1986,5,228,0,0,1.5,0,1.5,1
Dead Rising 2,29,2010,1,82,0.75,0.53,0.09,0.12,1.5,1
Rock Band 2,18,2008,4,345,1.13,0.2,0,0.16,1.5,1
Pac-Man World,16,1998,1,351,1.21,0.14,0.1,0.04,1.5,1
Disney Sing It: Pop Hits,26,2009,4,126,1.08,0.28,0,0.13,1.49,1
Final Fantasy: Crystal Chronicles,8,2003,8,368,0.72,0.38,0.36,0.04,1.49,1
Medal of Honor: Frontline,30,2002,9,139,1,0.43,0,0.06,1.49,1
Madden NFL 09,17,2008,11,139,1.22,0,0,0.27,1.49,1
Drawn To Life: SpongeBob SquarePants Edition,5,2008,2,514,1,0.36,0,0.13,1.49,1
Banjo-Tooie,11,2000,5,368,0.82,0.36,0.25,0.06,1.49,1
Buzz! The BIG Quiz,17,2006,4,464,0,1.1,0,0.39,1.49,1
007: Quantum of Solace,29,2008,1,17,0.82,0.52,0.01,0.14,1.49,1
The Sims 3,26,2010,10,139,0.61,0.73,0,0.15,1.49,1
New Play Control! Mario Power Tennis,26,2009,11,368,0.37,0.69,0.28,0.14,1.48,1
Bratz: Forever Diamondz,5,2006,2,514,0.43,0.88,0,0.18,1.48,1
Dirge of Cerberus: Final Fantasy VII,17,2006,9,474,0.47,0.37,0.52,0.12,1.48,1
Nintendo World Cup,12,1990,11,368,0.28,0.5,0.65,0.05,1.48,1
WWF WrestleMania 2000,11,1999,3,514,1.2,0.25,0.02,0.02,1.48,1
Wario Land II,6,1997,5,368,0.7,0.35,0.39,0.04,1.48,1
Mass Effect 2,18,2011,8,139,0.78,0.47,0.03,0.2,1.48,1
Major League Baseball 2K5,17,2005,11,498,0.72,0.56,0,0.19,1.48,1
Fight Night 2004,17,2004,3,139,1.08,0.2,0,0.2,1.48,1
Tom Clancy's Splinter Cell: Pandora Tomorrow,30,2004,1,532,0.82,0.59,0,0.07,1.48,1
Imagine: Master Chef,5,2007,10,532,0.39,0.92,0,0.17,1.47,1
Assassin's Creed III: Liberation,21,2012,1,532,0.58,0.55,0.06,0.28,1.47,1
SoulCalibur IV,18,2008,3,532,0.72,0.41,0.14,0.2,1.47,1
Mario Golf,11,1999,1,368,0.62,0.18,0.65,0.02,1.47,1
Disney Princess,7,2003,5,514,1.04,0.37,0,0.06,1.47,1
Fight Night Round 3,29,2006,3,139,1.33,0.03,0.01,0.1,1.47,1
Metal Gear Rising: Revengeance,18,2013,1,282,0.45,0.4,0.44,0.18,1.47,1
Chrono Trigger,5,2008,8,474,0.69,0.2,0.49,0.09,1.47,1
Star Wars: The Force Unleashed II,29,2010,1,296,0.95,0.4,0,0.12,1.47,1
The House of the Dead 2 & 3 Return,26,2008,9,452,0.78,0.5,0.03,0.15,1.47,1
Disney Princess: Magical Jewels,5,2007,2,126,1.15,0.2,0,0.12,1.47,1
LittleBigPlanet PS Vita,21,2012,5,464,0.4,0.72,0.02,0.33,1.47,1
Xenogears,16,1998,8,475,0.29,0.19,0.89,0.1,1.46,1
The SpongeBob SquarePants Movie,7,2004,5,514,1.02,0.38,0,0.06,1.46,1
Tom Clancy's Ghost Recon: Future Soldier,29,2012,9,532,0.93,0.4,0.02,0.12,1.46,1
Battlefield: Bad Company,29,2008,9,139,0.81,0.46,0.04,0.15,1.46,1
Midway Arcade Treasures,17,2003,4,330,0.72,0.56,0,0.19,1.46,1
Wall-E,5,2008,5,514,0.46,0.83,0,0.17,1.46,1
Triple Play 99,16,1998,11,999,0.81,0.55,0,0.1,1.46,1
Homefront,29,2011,9,514,0.83,0.48,0.02,0.12,1.46,1
Super Monkey Ball,8,2001,6,54,0.95,0.37,0.1,0.04,1.46,1
Donkey Kong,1,1981,5,94,1.36,0.08,0,0.02,1.46,1
Mortal Kombat 4,16,1998,3,209,0.81,0.55,0,0.1,1.46,1
Mario Superstar Baseball,8,2005,11,368,0.93,0.24,0.25,0.04,1.46,1
Mass Effect 3,18,2012,8,139,0.63,0.59,0.03,0.21,1.46,1
LEGO Batman 2: DC Super Heroes,26,2012,1,558,0.94,0.4,0,0.11,1.46,1
Medal of Honor: Warfighter,18,2012,1,139,0.47,0.65,0.06,0.28,1.46,1
WCW vs the World,16,1998,3,514,1.17,0.2,0.04,0.05,1.46,1
SNK vs. Capcom: The Match of the Millennium,20,2006,3,452,0.53,0.58,0,0.35,1.46,1
LEGO City Undercover,3,2013,5,368,0.51,0.75,0.07,0.12,1.46,1
Onimusha 3: Demon Siege,17,2004,1,82,0.37,0.47,0.54,0.07,1.45,1
Diablo III,29,2013,8,17,0.89,0.44,0,0.12,1.45,1
Batman: Arkham Knight,31,2015,1,558,0.86,0.46,0,0.13,1.45,1
BioShock,18,2008,9,498,0.75,0.49,0.01,0.21,1.45,1
Red Dead Revolver,17,2004,9,498,0.71,0.55,0,0.19,1.45,1
Anno 2070,14,2011,12,532,0,1.13,0,0.32,1.45,1
Resident Evil: Outbreak,17,2003,1,82,0.54,0.35,0.46,0.1,1.45,1
Smarty Pants,26,2007,4,139,0.53,0.76,0,0.16,1.45,1
Tamagotchi,6,1996,10,351,0,0,1.44,0.01,1.45,1
4 Nin uchi Mahjong,12,1984,4,368,0,0,1.45,0,1.45,1
Dragon Ball Z,24,1993,3,351,0,0,1.45,0,1.45,1
Game de Hakken!! Tamagotchi 2,6,1997,10,351,0,0,1.44,0.01,1.45,1
Namco Museum 64,11,1999,4,351,1.24,0.17,0.03,0.01,1.45,1
Hasbro Family Game Night,26,2008,6,139,0.97,0.34,0,0.13,1.45,1
Dragon Quest Monsters: Joker 2,5,2010,8,474,0.11,0.08,1.24,0.02,1.45,1
Tony Hawk's American Wasteland (Weekly american sales),17,2005,11,17,1.38,0.05,0,0.02,1.45,1
My Word Coach,5,2007,4,532,0.37,0.9,0,0.18,1.45,1
Hello Kitty Party,5,2007,4,439,0.79,0.53,0,0.13,1.44,1
SingStar Pop,17,2007,4,464,0.04,1.08,0,0.32,1.44,1
Sonic Rivals,20,2006,7,452,0.73,0.42,0,0.28,1.44,1
SimCity (2013),14,2013,10,139,0.48,0.77,0,0.19,1.44,1
Kirby Super Star,24,1996,5,368,0.26,0.07,1.09,0.02,1.44,1
Far Cry 4,18,2014,9,532,0.33,0.79,0.08,0.23,1.44,1
WWE SmackDown vs Raw 2008,29,2007,3,514,0.92,0.38,0,0.13,1.44,1
Kinect Joy Ride,29,2010,7,328,0.92,0.4,0,0.12,1.44,1
Rayman Raving Rabbids,26,2006,4,532,1.23,0.07,0.02,0.11,1.44,1
Need for Speed Rivals,18,2013,7,139,0.33,0.74,0.05,0.31,1.44,1
Tiger Woods PGA Tour 2005,17,2004,11,139,1.03,0.32,0,0.09,1.44,1
Dead Space 2,18,2011,9,139,0.73,0.5,0,0.21,1.44,1
NCAA Football 2003,17,2002,11,139,1.16,0.08,0,0.19,1.44,1
Frogger 2: Swampy's Revenge,16,1999,1,217,0.8,0.54,0,0.09,1.43,1
Disney Infinity,29,2013,1,126,0.96,0.37,0,0.11,1.43,1
LEGO Indiana Jones 2: The Adventure Continues,26,2009,1,17,0.91,0.39,0,0.13,1.43,1
Sonic's Ultimate Genesis Collection,29,2009,4,452,0.85,0.46,0,0.13,1.43,1
Tiger Woods PGA Tour 09 All-Play,26,2008,11,139,0.81,0.48,0,0.14,1.43,1
Disney's DuckTales,6,1988,5,82,0.82,0.23,0.35,0.03,1.43,1
Classic NES Series: Super Mario Bros.,7,2004,5,368,0,0,1.39,0.03,1.43,1
Triple Play 2000,16,1999,11,139,0.79,0.54,0,0.09,1.43,1
Dragon Quest VII: Warriors of Eden,3,2013,8,474,0.07,0.04,1.3,0.01,1.42,1
Cabela's Big Game Hunter,17,2002,11,17,0.7,0.54,0,0.18,1.42,1
UFC Undisputed 2010,18,2010,3,514,0.8,0.41,0.02,0.19,1.42,1
NBA Live 06 (Weekly american sales),17,2005,11,139,1.35,0.05,0,0.02,1.42,1
The Legend of Zelda: The Minish Cap,7,2004,1,368,0.89,0.22,0.22,0.1,1.42,1
NFL Street,17,2004,11,139,1.15,0.08,0,0.19,1.42,1
Sonic Generations,29,2011,5,452,0.71,0.57,0,0.14,1.42,1
Super Metroid,24,1994,1,368,0.57,0.12,0.71,0.02,1.42,1
Pro Yakyuu Family Stadium '87,12,1987,11,351,0.12,0,1.3,0,1.42,1
Dead Space,29,2008,1,139,0.89,0.4,0,0.13,1.42,1
Resident Evil (Remake),8,2002,1,82,0.63,0.38,0.35,0.05,1.42,1
Inazuma Eleven 2,5,2009,8,368,0,0.21,1.18,0.03,1.42,1
Tomb Raider (2013),19,2014,1,474,0.47,0.64,0.06,0.25,1.41,1
LEGO Star Wars II: The Original Trilogy,20,2006,1,296,0.58,0.51,0,0.32,1.41,1
Toy Story 3: The Video Game,26,2010,1,126,0.64,0.63,0,0.14,1.41,1
Fight Night Round 4,29,2009,3,139,0.95,0.34,0,0.13,1.41,1
LEGO Star Wars: The Video Game,8,2005,1,138,1.09,0.28,0,0.04,1.41,1
Injustice: Gods Among Us,29,2013,3,558,0.97,0.34,0,0.11,1.41,1
Madden NFL 15,18,2014,11,139,1.07,0.15,0,0.19,1.41,1
Disney's The Lion King,9,1994,5,551,0.97,0.37,0.03,0.05,1.41,1
Ridge Racer,20,2004,7,464,0.36,0.45,0.32,0.28,1.41,1
Metroid: Other M,26,2010,1,368,0.87,0.31,0.13,0.1,1.41,1
Knockout Kings 2000,16,1999,3,139,1.02,0.34,0,0.05,1.41,1
Gran Turismo 4 Prologue,17,2003,7,464,0,0.47,0.77,0.17,1.41,1
Twisted Metal: Black,17,2001,7,464,1.19,0.17,0,0.05,1.41,1
NASCAR 2005: Chase for the Cup,17,2004,7,139,0.69,0.54,0,0.18,1.41,1
Call of Duty: Black Ops,26,2010,9,17,0.82,0.47,0,0.12,1.4,1
Spider-Man: The Movie,30,2002,1,17,1.07,0.28,0,0.05,1.4,1
Need For Speed: Undercover,17,2008,7,139,0.38,0.08,0.03,0.93,1.4,1
2Xtreme,16,1996,11,464,1.15,0.2,0,0.05,1.4,1
Far Cry 2,18,2008,1,532,0.43,0.7,0.01,0.27,1.4,1
Sonic Advance 3,7,2004,5,514,0.74,0.52,0.08,0.06,1.4,1
Final Fantasy III,12,1990,8,475,0,0,1.39,0.01,1.4,1
Battlefield 4,14,2013,9,139,0.38,0.86,0,0.16,1.4,1
Colin McRae Rally 3,17,2002,7,91,0.03,1.05,0.02,0.3,1.4,1
Madden NFL 2002,16,2001,11,139,0.78,0.53,0,0.09,1.39,1
Doom (2016),19,2016,9,65,0.49,0.66,0.02,0.22,1.39,1
Final Fantasy XII: Revenant Wings,5,2007,8,474,0.34,0.42,0.54,0.1,1.39,1
Bakugan: Battle Brawlers,5,2009,1,17,1.27,0.02,0,0.09,1.39,1
Deus Ex: Human Revolution,18,2011,9,474,0.5,0.6,0.07,0.23,1.39,1
NBA Jam,24,1994,11,13,1.19,0.16,0,0.03,1.39,1
Teenage Mutant Ninja Turtles III: The Manhattan Project,12,1991,1,282,1.05,0.17,0.15,0.02,1.39,1
Dynasty Warriors 5,17,2005,1,506,0.24,0.18,0.91,0.06,1.39,1
Hannah Montana: Spotlight World Tour,26,2007,1,126,0.87,0.38,0,0.13,1.39,1
WWE '13,18,2012,1,514,0.51,0.62,0,0.26,1.39,1
Deus Ex: Human Revolution,29,2011,9,474,0.76,0.48,0.02,0.12,1.39,1
True Crime: Streets of LA,30,2003,1,17,0.96,0.37,0,0.05,1.38,1
The Sims 2,20,2005,10,139,0.49,0.56,0,0.33,1.38,1
Paper Mario,11,2000,8,368,0.58,0.18,0.59,0.02,1.38,1
Bravely Default: Flying Fairy,3,2012,8,368,0.5,0.32,0.49,0.07,1.38,1
Titanfall,29,2014,9,139,0.87,0.38,0.02,0.11,1.38,1
Duke Nukem: Time to Kill,16,1998,9,498,0.77,0.54,0,0.07,1.38,1
Persona 4: Golden,21,2012,8,56,0.46,0.34,0.38,0.21,1.38,1
Dead Rising 2,18,2010,1,82,0.43,0.57,0.15,0.22,1.38,1
Hasbro Family Game Night 2,26,2009,4,139,0.71,0.53,0,0.13,1.38,1
Disney Princess: Enchanted Journey,26,2007,2,126,1.24,0.04,0,0.09,1.38,1
Gardening Mama,5,2009,6,7,0.8,0.43,0.01,0.13,1.38,1
Dave Mirra Freestyle BMX 2,17,2001,11,13,0.67,0.53,0,0.18,1.38,1
Need for Speed: The Run,29,2011,1,139,0.63,0.58,0,0.15,1.38,1
LEGO Indiana Jones: The Original Adventures,17,2008,1,296,0.6,0.01,0,0.76,1.37,1
Assassin's Creed: Rogue,18,2014,1,532,0.46,0.62,0.06,0.23,1.37,1
Ridge Racer 7,18,2006,7,351,0.24,0.7,0.16,0.26,1.37,1
A Collection of Activision Classic Games for the Atari 2600,16,1998,4,17,0.76,0.52,0,0.09,1.37,1
Forza Horizon 2,31,2014,7,328,0.5,0.78,0.01,0.09,1.37,1
MotorStorm: Pacific Rift,18,2008,7,464,0.43,0.67,0.02,0.26,1.37,1
Sonic Colors,5,2010,5,452,0.74,0.5,0.01,0.13,1.37,1
Star Wars Knights of the Old Republic II: The Sith Lords,30,2004,8,17,0.99,0.33,0,0.05,1.37,1
LEGO Harry Potter: Years 1-4,18,2010,1,558,0.55,0.6,0,0.22,1.37,1
Pocket Monsters Stadium,11,1998,12,368,0,0,1.37,0,1.37,1
NBA 2K15,18,2014,11,498,0.86,0.27,0.02,0.22,1.36,1
Tom Clancy's Ghost Recon 2,30,2004,9,532,0.86,0.45,0,0.06,1.36,1
Crash Bandicoot 2: N-Tranced,7,2003,5,554,0.63,0.66,0,0.07,1.36,1
Burnout Paradise,29,2008,7,139,0.63,0.58,0.01,0.15,1.36,1
SingStar Abba,17,2008,4,464,0.23,0.04,0,1.09,1.36,1
Gradius,12,1986,9,282,0.27,0.08,1,0.01,1.36,1
